Response_ID,Respondent_ID,Consume_frequency,Consume_time,Consume_reason,Heard_before,Brand_perception,General_perception,Tried_before,Taste_experience,Reasons_preventing_trying,Current_brands,Reasons_for_choosing_brands,Improvements_desired,Ingredients_expected,Health_concerns,Interest_in_natural_or_organic,Marketing_channels,Packaging_preference,Limited_edition_packaging,Price_range,Purchase_location,Typical_consumption_situations
109150,126180,Once a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Not sure,No,2,Health concerns,Bepsi,Taste/flavor preference,More natural ingredients,Caffeine,No,Yes,Online ads,Innovative bottle design,Yes,Above 150,Supermarkets,Sports/exercise
109151,126181,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Neutral,Not sure,Yes,5,Not available locally,CodeX,Other,Wider range of flavors,Caffeine,Yes,No,Print media,Eco-friendly design,Not Sure,50-99,Supermarkets,Studying/working late
109152,126182,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,No,1,Not interested in energy drinks,Gangster,Taste/flavor preference,Healthier alternatives,Guarana,No,Yes,Outdoor billboards,Compact and portable cans,No,Below 50,Online retailers,Sports/exercise
109153,126183,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Healthy,Yes,3,Other,Blue Bull,Availability,Wider range of flavors,Guarana,Yes,Not Sure,Online ads,Compact and portable cans,Yes,100-150,Local stores,Studying/working late
109155,126185,2-3 times a week,Throughout the day,Increased energy and focus,No,Neutral,Not sure,No,4,Health concerns,Bepsi,Brand reputation,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late
109156,126186,2-3 times a week,Before exercise,To boost performance,Yes,Neutral,Effective,No,2,Unfamiliar with the brand,Bepsi,Other,Reduced sugar content,Sugar,Yes,No,TV commercials,Innovative bottle design,Not Sure,Below 50,Online retailers,Other
109157,126187,Daily,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,Yes,3,Unfamiliar with the brand,Blue Bull,Other,More natural ingredients,Caffeine,No,Not Sure,Online ads,Compact and portable cans,Yes,100-150,Gyms and fitness centers,Sports/exercise
109158,126188,2-3 times a month,Throughout the day,To combat fatigue,Yes,Neutral,Not sure,No,4,Unfamiliar with the brand,Cola-Coka,Effectiveness,Wider range of flavors,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,Not Sure,50-99,Gyms and fitness centers,Sports/exercise
109159,126189,2-3 times a week,To stay awake during work/study,Other,Yes,Neutral,Effective,Yes,4,Other,Bepsi,Brand reputation,Other,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,Not Sure,100-150,Gyms and fitness centers,Sports/exercise
109160,126190,2-3 times a week,Throughout the day,To enhance sports performance,No,Negative,Healthy,No,5,Not interested in energy drinks,CodeX,Other,Other,Caffeine,Yes,Not Sure,TV commercials,Innovative bottle design,Yes,100-150,Supermarkets,Studying/working late
109162,126192,Daily,For mental alertness,To enhance sports performance,Yes,Neutral,Healthy,No,3,Not interested in energy drinks,Blue Bull,Other,Reduced sugar content,Vitamins,Yes,No,Online ads,Compact and portable cans,Yes,Below 50,Online retailers,Sports/exercise
109163,126193,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Negative,Not sure,Yes,3,Not interested in energy drinks,Bepsi,Brand reputation,Wider range of flavors,Guarana,Yes,Yes,Outdoor billboards,Compact and portable cans,Yes,50-99,Online retailers,Sports/exercise
109165,126195,2-3 times a week,For mental alertness,To enhance sports performance,Yes,Neutral,Healthy,Yes,3,Health concerns,Cola-Coka,Taste/flavor preference,More natural ingredients,Guarana,Yes,Yes,TV commercials,Compact and portable cans,Yes,100-150,Supermarkets,Sports/exercise
109166,126196,2-3 times a week,For mental alertness,Increased energy and focus,Yes,Negative,Dangerous,No,4,Not interested in energy drinks,Bepsi,Other,Healthier alternatives,Sugar,Yes,No,TV commercials,Collectible packaging,No,100-150,Supermarkets,Studying/working late
109167,126197,Rarely,Throughout the day,Increased energy and focus,Yes,Negative,Effective,No,1,Other,Bepsi,Taste/flavor preference,More natural ingredients,Sugar,No,Yes,TV commercials,Eco-friendly design,Yes,50-99,Supermarkets,Sports/exercise
109168,126198,2-3 times a week,For mental alertness,Increased energy and focus,Yes,Positive,Effective,No,3,Not interested in energy drinks,Gangster,Brand reputation,Other,Caffeine,No,Yes,TV commercials,Other,Yes,100-150,Online retailers,Sports/exercise
109169,126199,2-3 times a week,Before exercise,Other,No,Neutral,Effective,No,2,Not available locally,Bepsi,Effectiveness,More natural ingredients,Caffeine,Yes,Yes,Outdoor billboards,Innovative bottle design,No,100-150,Other,Sports/exercise
109170,126200,Once a week,For mental alertness,To enhance sports performance,Yes,Neutral,Healthy,No,2,Not available locally,CodeX,Other,Reduced sugar content,Vitamins,Yes,Yes,Other,Compact and portable cans,Not Sure,50-99,Supermarkets,Sports/exercise
109172,126202,2-3 times a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Effective,No,3,Not interested in energy drinks,Cola-Coka,Availability,Reduced sugar content,Sugar,No,No,TV commercials,Innovative bottle design,No,Above 150,Supermarkets,Social outings/parties
109173,126203,Daily,Before exercise,To combat fatigue,Yes,Positive,Healthy,No,3,Not interested in energy drinks,Bepsi,Availability,Wider range of flavors,Caffeine,Yes,Not Sure,TV commercials,Compact and portable cans,No,50-99,Other,Social outings/parties
109175,126205,Daily,Throughout the day,To boost performance,Yes,Neutral,Effective,Yes,2,Other,Bepsi,Availability,Reduced sugar content,Guarana,Yes,Not Sure,TV commercials,Compact and portable cans,Yes,Above 150,Local stores,Sports/exercise
109177,126207,2-3 times a month,For mental alertness,Increased energy and focus,Yes,Neutral,Not sure,No,4,Unfamiliar with the brand,CodeX,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Not Sure,Other,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
109178,126208,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Effective,No,4,Not interested in energy drinks,Cola-Coka,Other,Healthier alternatives,Sugar,Yes,Not Sure,TV commercials,Eco-friendly design,Yes,50-99,Supermarkets,Studying/working late
109179,126209,2-3 times a week,Before exercise,Increased energy and focus,Yes,Negative,Not sure,No,3,Unfamiliar with the brand,Cola-Coka,Brand reputation,Wider range of flavors,Sugar,Yes,Yes,Online ads,Compact and portable cans,Not Sure,100-150,Supermarkets,Studying/working late
109180,126210,2-3 times a month,Before exercise,Increased energy and focus,Yes,Negative,Effective,Yes,4,Not available locally,Cola-Coka,Brand reputation,Wider range of flavors,Vitamins,No,Yes,TV commercials,Collectible packaging,No,100-150,Other,Sports/exercise
109181,126211,2-3 times a week,Throughout the day,To combat fatigue,No,Positive,Healthy,No,4,Not interested in energy drinks,Cola-Coka,Availability,Wider range of flavors,Guarana,No,No,TV commercials,Collectible packaging,No,Above 150,Other,Social outings/parties
109182,126212,2-3 times a week,Throughout the day,Increased energy and focus,Yes,Neutral,Effective,No,3,Not available locally,Blue Bull,Taste/flavor preference,Wider range of flavors,Caffeine,Yes,No,Online ads,Innovative bottle design,No,50-99,Supermarkets,Sports/exercise
109183,126213,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Positive,Effective,No,4,Not available locally,Sky 9,Brand reputation,Wider range of flavors,Guarana,No,No,Online ads,Eco-friendly design,Yes,50-99,Online retailers,Sports/exercise
109184,126214,Once a week,For mental alertness,To enhance sports performance,No,Negative,Healthy,No,3,Health concerns,Cola-Coka,Availability,Reduced sugar content,Guarana,No,No,Online ads,Compact and portable cans,No,Above 150,Supermarkets,Sports/exercise
109185,126215,Once a week,Before exercise,Increased energy and focus,Yes,Negative,Not sure,No,3,Health concerns,Sky 9,Effectiveness,Healthier alternatives,Sugar,Yes,Yes,TV commercials,Collectible packaging,No,50-99,Supermarkets,Sports/exercise
109186,126216,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Dangerous,No,4,Unfamiliar with the brand,CodeX,Effectiveness,Wider range of flavors,Vitamins,No,Not Sure,Print media,Compact and portable cans,No,50-99,Gyms and fitness centers,Studying/working late
109187,126217,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Neutral,Not sure,No,3,Other,Cola-Coka,Brand reputation,Wider range of flavors,Guarana,Yes,Not Sure,Online ads,Other,Yes,50-99,Online retailers,Sports/exercise
109190,126220,Rarely,For mental alertness,To enhance sports performance,Yes,Neutral,Healthy,Yes,5,Not available locally,Sky 9,Taste/flavor preference,Wider range of flavors,Sugar,No,Yes,TV commercials,Collectible packaging,Not Sure,50-99,Supermarkets,Studying/working late
109191,126221,Once a week,To stay awake during work/study,To boost performance,Yes,Neutral,Effective,No,1,Other,Bepsi,Availability,Reduced sugar content,Caffeine,Yes,Yes,Outdoor billboards,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Studying/working late
109193,126223,Rarely,Before exercise,Increased energy and focus,Yes,Neutral,Healthy,Yes,5,Not available locally,Gangster,Taste/flavor preference,Healthier alternatives,Sugar,Yes,No,Outdoor billboards,Compact and portable cans,Yes,50-99,Local stores,Studying/working late
109196,126226,Once a week,For mental alertness,To enhance sports performance,Yes,Negative,Dangerous,Yes,5,Not available locally,Cola-Coka,Other,Healthier alternatives,Vitamins,Yes,Yes,TV commercials,Innovative bottle design,Yes,50-99,Supermarkets,Sports/exercise
109198,126228,2-3 times a week,Before exercise,Other,Yes,Positive,Not sure,No,2,Not available locally,CodeX,Effectiveness,Reduced sugar content,Sugar,Yes,No,Outdoor billboards,Compact and portable cans,Not Sure,100-150,Other,Sports/exercise
109199,126229,2-3 times a month,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,Yes,5,Not available locally,Gangster,Other,Healthier alternatives,Vitamins,Yes,Not Sure,Outdoor billboards,Compact and portable cans,Yes,Below 50,Supermarkets,Studying/working late
109200,126230,Rarely,Before exercise,Other,Yes,Negative,Not sure,No,3,Not available locally,Gangster,Effectiveness,Healthier alternatives,Sugar,No,No,Online ads,Compact and portable cans,No,Above 150,Supermarkets,Sports/exercise
109201,126231,2-3 times a month,Throughout the day,To boost performance,Yes,Positive,Effective,No,5,Unfamiliar with the brand,Cola-Coka,Brand reputation,Reduced sugar content,Vitamins,Yes,Yes,TV commercials,Other,No,100-150,Supermarkets,Other
109207,126237,2-3 times a month,Throughout the day,To combat fatigue,Yes,Neutral,Healthy,No,4,Not available locally,Cola-Coka,Taste/flavor preference,Wider range of flavors,Vitamins,Yes,No,TV commercials,Compact and portable cans,Not Sure,50-99,Online retailers,Sports/exercise
109208,126238,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Neutral,Not sure,No,4,Other,Cola-Coka,Taste/flavor preference,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Collectible packaging,No,50-99,Supermarkets,Sports/exercise
109210,126240,Rarely,Before exercise,Other,Yes,Neutral,Dangerous,No,5,Not interested in energy drinks,CodeX,Brand reputation,Other,Caffeine,No,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late
109211,126241,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Positive,Healthy,No,1,Health concerns,CodeX,Availability,More natural ingredients,Sugar,Yes,No,Online ads,Innovative bottle design,Yes,50-99,Supermarkets,Studying/working late
109212,126242,Once a week,Throughout the day,To combat fatigue,Yes,Negative,Effective,Yes,3,Other,Cola-Coka,Taste/flavor preference,Wider range of flavors,Sugar,No,No,TV commercials,Eco-friendly design,Not Sure,Above 150,Supermarkets,Studying/working late
109213,126243,Daily,Before exercise,To combat fatigue,No,Neutral,Healthy,No,3,Other,Cola-Coka,Availability,Healthier alternatives,Guarana,No,No,TV commercials,Compact and portable cans,Yes,100-150,Supermarkets,Studying/working late
109214,126244,Daily,Throughout the day,To boost performance,Yes,Neutral,Effective,No,4,Other,Bepsi,Effectiveness,Wider range of flavors,Caffeine,Yes,No,Online ads,Other,Not Sure,50-99,Online retailers,Sports/exercise
109217,126247,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,No,1,Not interested in energy drinks,Gangster,Other,More natural ingredients,Guarana,No,Not Sure,Print media,Compact and portable cans,Not Sure,50-99,Online retailers,Social outings/parties
109218,126248,2-3 times a month,Before exercise,Increased energy and focus,Yes,Positive,Not sure,Yes,5,Health concerns,Gangster,Other,Other,Guarana,Yes,No,Online ads,Compact and portable cans,Not Sure,Below 50,Supermarkets,Sports/exercise
109219,126249,Once a week,Throughout the day,To enhance sports performance,No,Neutral,Not sure,No,3,Health concerns,Bepsi,Other,Other,Sugar,No,Yes,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Social outings/parties
109220,126250,Daily,To stay awake during work/study,Other,No,Neutral,Dangerous,No,2,Unfamiliar with the brand,Bepsi,Taste/flavor preference,Healthier alternatives,Vitamins,No,No,TV commercials,Collectible packaging,Yes,100-150,Gyms and fitness centers,Sports/exercise
109221,126251,Daily,Throughout the day,Increased energy and focus,Yes,Neutral,Healthy,No,4,Unfamiliar with the brand,Cola-Coka,Effectiveness,Reduced sugar content,Guarana,No,No,Online ads,Innovative bottle design,No,50-99,Other,Studying/working late
109222,126252,2-3 times a week,Before exercise,Increased energy and focus,No,Neutral,Effective,No,3,Unfamiliar with the brand,Cola-Coka,Taste/flavor preference,Other,Vitamins,Yes,No,Online ads,Eco-friendly design,No,50-99,Other,Studying/working late
109224,126254,Once a week,For mental alertness,To combat fatigue,Yes,Neutral,Healthy,No,3,Health concerns,CodeX,Availability,More natural ingredients,Vitamins,No,Yes,Online ads,Compact and portable cans,No,50-99,Supermarkets,Driving/commuting
109225,126255,2-3 times a week,For mental alertness,To combat fatigue,No,Neutral,Dangerous,No,5,Not available locally,Cola-Coka,Availability,Other,Vitamins,Yes,No,TV commercials,Compact and portable cans,No,100-150,Local stores,Studying/working late
109226,126256,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Neutral,Healthy,Yes,4,Other,Blue Bull,Other,More natural ingredients,Vitamins,Yes,No,Online ads,Innovative bottle design,Yes,50-99,Supermarkets,Sports/exercise
109227,126257,Once a week,To stay awake during work/study,To combat fatigue,Yes,Positive,Effective,Yes,3,Unfamiliar with the brand,CodeX,Availability,Wider range of flavors,Guarana,Yes,No,TV commercials,Innovative bottle design,No,100-150,Supermarkets,Sports/exercise
109228,126258,2-3 times a week,Before exercise,To combat fatigue,Yes,Negative,Effective,No,5,Other,Blue Bull,Taste/flavor preference,Wider range of flavors,Guarana,No,Yes,Outdoor billboards,Innovative bottle design,No,Below 50,Local stores,Studying/working late
109229,126259,Rarely,For mental alertness,Other,Yes,Positive,Not sure,Yes,3,Health concerns,Cola-Coka,Effectiveness,Healthier alternatives,Caffeine,Yes,No,Other,Innovative bottle design,No,50-99,Gyms and fitness centers,Sports/exercise
109230,126260,Daily,To stay awake during work/study,To enhance sports performance,No,Neutral,Dangerous,No,2,Not available locally,Gangster,Other,Reduced sugar content,Caffeine,Yes,Not Sure,TV commercials,Collectible packaging,Not Sure,100-150,Online retailers,Sports/exercise
109231,126261,Rarely,To stay awake during work/study,To boost performance,Yes,Negative,Healthy,Yes,2,Unfamiliar with the brand,Gangster,Other,Wider range of flavors,Caffeine,Yes,No,Online ads,Compact and portable cans,Not Sure,50-99,Supermarkets,Studying/working late
109232,126262,Rarely,Before exercise,Increased energy and focus,Yes,Positive,Not sure,No,5,Unfamiliar with the brand,Bepsi,Brand reputation,Reduced sugar content,Vitamins,No,No,TV commercials,Collectible packaging,Not Sure,100-150,Supermarkets,Sports/exercise
109234,126264,2-3 times a week,Throughout the day,To boost performance,No,Neutral,Dangerous,No,2,Health concerns,Sky 9,Effectiveness,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Innovative bottle design,No,100-150,Online retailers,Social outings/parties
109236,126266,Once a week,Before exercise,To combat fatigue,Yes,Positive,Effective,No,3,Other,Gangster,Brand reputation,More natural ingredients,Sugar,No,Not Sure,Online ads,Compact and portable cans,No,Above 150,Gyms and fitness centers,Studying/working late
109237,126267,Daily,For mental alertness,Other,Yes,Neutral,Not sure,No,1,Health concerns,Sky 9,Brand reputation,Healthier alternatives,Vitamins,No,No,Outdoor billboards,Compact and portable cans,Not Sure,50-99,Gyms and fitness centers,Sports/exercise
109239,126269,2-3 times a month,To stay awake during work/study,To combat fatigue,Yes,Negative,Healthy,Yes,3,Other,Sky 9,Taste/flavor preference,More natural ingredients,Caffeine,Yes,Yes,Online ads,Innovative bottle design,No,50-99,Gyms and fitness centers,Social outings/parties
109240,126270,Rarely,Throughout the day,Other,Yes,Positive,Dangerous,No,3,Health concerns,Sky 9,Availability,More natural ingredients,Caffeine,No,Not Sure,Print media,Eco-friendly design,No,Below 50,Supermarkets,Sports/exercise
109242,126272,2-3 times a week,For mental alertness,To boost performance,No,Neutral,Dangerous,No,5,Health concerns,Cola-Coka,Brand reputation,Healthier alternatives,Guarana,Yes,Yes,TV commercials,Innovative bottle design,Yes,100-150,Online retailers,Social outings/parties
109243,126273,Once a week,Throughout the day,Increased energy and focus,Yes,Neutral,Not sure,No,1,Not available locally,Gangster,Other,More natural ingredients,Sugar,Yes,Yes,Print media,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
109244,126274,2-3 times a week,To stay awake during work/study,To combat fatigue,No,Positive,Dangerous,No,4,Not available locally,Gangster,Other,Reduced sugar content,Vitamins,Yes,No,Online ads,Eco-friendly design,No,100-150,Other,Sports/exercise
109245,126275,Once a week,For mental alertness,To boost performance,Yes,Neutral,Not sure,Yes,5,Other,Blue Bull,Taste/flavor preference,More natural ingredients,Vitamins,Yes,Yes,Online ads,Collectible packaging,Not Sure,Above 150,Supermarkets,Sports/exercise
109247,126277,2-3 times a week,To stay awake during work/study,Other,Yes,Negative,Effective,No,4,Unfamiliar with the brand,Bepsi,Brand reputation,Reduced sugar content,Caffeine,Yes,Yes,TV commercials,Compact and portable cans,Not Sure,50-99,Local stores,Sports/exercise
109250,126280,2-3 times a week,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,Yes,2,Other,Blue Bull,Taste/flavor preference,Healthier alternatives,Caffeine,No,Yes,TV commercials,Collectible packaging,No,50-99,Supermarkets,Studying/working late
109254,126284,Once a week,Throughout the day,Other,No,Negative,Not sure,No,4,Other,CodeX,Availability,Reduced sugar content,Sugar,Yes,Yes,Online ads,Eco-friendly design,Yes,Below 50,Supermarkets,Sports/exercise
109259,126289,2-3 times a month,For mental alertness,Increased energy and focus,Yes,Positive,Effective,No,4,Unfamiliar with the brand,CodeX,Other,Reduced sugar content,Vitamins,No,Not Sure,Outdoor billboards,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Sports/exercise
109260,126290,Daily,To stay awake during work/study,Increased energy and focus,No,Neutral,Not sure,No,1,Not interested in energy drinks,Gangster,Brand reputation,Reduced sugar content,Vitamins,No,Yes,Outdoor billboards,Innovative bottle design,Yes,50-99,Supermarkets,Social outings/parties
109261,126291,Rarely,Before exercise,To combat fatigue,Yes,Neutral,Not sure,Yes,1,Unfamiliar with the brand,Gangster,Other,Wider range of flavors,Caffeine,No,No,Online ads,Collectible packaging,Yes,Above 150,Gyms and fitness centers,Studying/working late
109262,126292,2-3 times a week,For mental alertness,Increased energy and focus,Yes,Positive,Effective,Yes,3,Health concerns,Others,Brand reputation,Wider range of flavors,Caffeine,No,No,Online ads,Compact and portable cans,Not Sure,100-150,Supermarkets,Driving/commuting
109263,126293,2-3 times a week,For mental alertness,Increased energy and focus,Yes,Positive,Dangerous,No,5,Unfamiliar with the brand,Cola-Coka,Effectiveness,Reduced sugar content,Sugar,No,Yes,TV commercials,Compact and portable cans,No,Above 150,Supermarkets,Studying/working late
109264,126294,Rarely,For mental alertness,Increased energy and focus,Yes,Neutral,Effective,No,3,Not interested in energy drinks,Bepsi,Brand reputation,Healthier alternatives,Sugar,Yes,No,Print media,Compact and portable cans,Yes,Above 150,Supermarkets,Studying/working late
109265,126295,2-3 times a month,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Effective,Yes,2,Other,Gangster,Brand reputation,Reduced sugar content,Guarana,No,No,TV commercials,Innovative bottle design,Not Sure,100-150,Supermarkets,Studying/working late
109266,126296,2-3 times a month,Before exercise,To enhance sports performance,Yes,Neutral,Healthy,Yes,1,Not available locally,Bepsi,Taste/flavor preference,More natural ingredients,Sugar,Yes,Not Sure,TV commercials,Compact and portable cans,No,Below 50,Supermarkets,Studying/working late
109269,126299,Once a week,Throughout the day,To boost performance,No,Neutral,Healthy,No,4,Unfamiliar with the brand,Bepsi,Taste/flavor preference,Reduced sugar content,Guarana,No,Yes,Online ads,Eco-friendly design,Yes,50-99,Online retailers,Social outings/parties
109270,126300,2-3 times a week,Before exercise,To boost performance,Yes,Positive,Dangerous,No,4,Not available locally,Gangster,Taste/flavor preference,Reduced sugar content,Guarana,Yes,No,TV commercials,Innovative bottle design,Yes,100-150,Supermarkets,Sports/exercise
109271,126301,2-3 times a week,Before exercise,To enhance sports performance,No,Negative,Healthy,No,3,Not interested in energy drinks,Bepsi,Other,Healthier alternatives,Vitamins,Yes,No,Online ads,Compact and portable cans,No,50-99,Supermarkets,Sports/exercise
109272,126302,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Healthy,No,4,Health concerns,Cola-Coka,Availability,Reduced sugar content,Guarana,Yes,No,Outdoor billboards,Innovative bottle design,Yes,50-99,Supermarkets,Sports/exercise
109275,126305,2-3 times a week,Before exercise,To combat fatigue,Yes,Positive,Dangerous,No,4,Unfamiliar with the brand,Bepsi,Taste/flavor preference,Wider range of flavors,Caffeine,Yes,Yes,Print media,Compact and portable cans,No,50-99,Supermarkets,Studying/working late
109276,126306,2-3 times a week,Throughout the day,Increased energy and focus,Yes,Positive,Dangerous,No,5,Health concerns,Sky 9,Brand reputation,Wider range of flavors,Guarana,Yes,Yes,TV commercials,Eco-friendly design,Yes,50-99,Supermarkets,Social outings/parties
109278,126308,Daily,To stay awake during work/study,Other,Yes,Neutral,Healthy,Yes,3,Other,Cola-Coka,Other,Reduced sugar content,Caffeine,No,No,Print media,Collectible packaging,Not Sure,Below 50,Online retailers,Sports/exercise
109279,126309,Once a week,Before exercise,To enhance sports performance,Yes,Positive,Dangerous,Yes,3,Not interested in energy drinks,Cola-Coka,Availability,More natural ingredients,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,No,100-150,Online retailers,Sports/exercise
109280,126310,2-3 times a week,To stay awake during work/study,To boost performance,Yes,Neutral,Effective,No,3,Not available locally,Gangster,Brand reputation,Wider range of flavors,Sugar,Yes,Not Sure,Online ads,Innovative bottle design,Not Sure,50-99,Local stores,Sports/exercise
109282,126312,2-3 times a week,Before exercise,To combat fatigue,Yes,Negative,Dangerous,No,4,Not interested in energy drinks,Cola-Coka,Availability,Reduced sugar content,Caffeine,Yes,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late
109284,126314,2-3 times a week,Before exercise,Increased energy and focus,Yes,Negative,Not sure,Yes,3,Not available locally,CodeX,Brand reputation,Wider range of flavors,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,Yes,100-150,Other,Sports/exercise
109285,126315,Daily,For mental alertness,To combat fatigue,Yes,Positive,Not sure,No,5,Not available locally,Blue Bull,Effectiveness,Reduced sugar content,Caffeine,No,Yes,TV commercials,Compact and portable cans,No,100-150,Supermarkets,Sports/exercise
109286,126316,Daily,To stay awake during work/study,To boost performance,No,Neutral,Dangerous,No,4,Health concerns,Cola-Coka,Taste/flavor preference,More natural ingredients,Guarana,Yes,No,TV commercials,Compact and portable cans,Not Sure,100-150,Other,Driving/commuting
109287,126317,2-3 times a month,Before exercise,To boost performance,No,Neutral,Effective,No,4,Other,Cola-Coka,Brand reputation,Reduced sugar content,Guarana,No,Yes,TV commercials,Collectible packaging,Yes,100-150,Local stores,Studying/working late
109288,126318,Rarely,Before exercise,To enhance sports performance,Yes,Neutral,Not sure,No,2,Unfamiliar with the brand,Gangster,Availability,More natural ingredients,Sugar,No,Yes,Online ads,Collectible packaging,Yes,100-150,Supermarkets,Studying/working late
109289,126319,2-3 times a week,Throughout the day,Increased energy and focus,Yes,Positive,Dangerous,No,5,Unfamiliar with the brand,CodeX,Availability,Wider range of flavors,Vitamins,Yes,Yes,Online ads,Compact and portable cans,No,100-150,Other,Studying/working late
109292,126322,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,Yes,4,Not interested in energy drinks,Gangster,Other,More natural ingredients,Caffeine,Yes,No,Other,Compact and portable cans,Yes,Below 50,Other,Sports/exercise
109293,126323,Once a week,For mental alertness,To boost performance,Yes,Negative,Dangerous,No,1,Not available locally,Blue Bull,Effectiveness,Reduced sugar content,Vitamins,Yes,Yes,TV commercials,Compact and portable cans,No,50-99,Supermarkets,Studying/working late
109294,126324,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Healthy,No,4,Health concerns,Gangster,Availability,More natural ingredients,Sugar,No,Yes,Online ads,Other,Not Sure,50-99,Supermarkets,Sports/exercise
109295,126325,Rarely,Before exercise,Other,Yes,Positive,Effective,Yes,2,Other,Cola-Coka,Availability,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Compact and portable cans,No,Below 50,Local stores,Sports/exercise
109297,126327,2-3 times a week,Throughout the day,To boost performance,Yes,Neutral,Healthy,No,5,Other,Cola-Coka,Availability,Other,Guarana,Yes,No,Outdoor billboards,Compact and portable cans,No,100-150,Supermarkets,Social outings/parties
109298,126328,2-3 times a week,To stay awake during work/study,To combat fatigue,Yes,Neutral,Effective,No,5,Not available locally,Sky 9,Brand reputation,Healthier alternatives,Guarana,Yes,No,Online ads,Compact and portable cans,No,Above 150,Supermarkets,Sports/exercise
109300,126330,2-3 times a week,Throughout the day,Other,Yes,Neutral,Not sure,Yes,3,Not available locally,Gangster,Availability,Wider range of flavors,Vitamins,No,Yes,TV commercials,Compact and portable cans,Not Sure,100-150,Gyms and fitness centers,Sports/exercise
109302,126332,Daily,Before exercise,Increased energy and focus,Yes,Neutral,Not sure,No,4,Not interested in energy drinks,Cola-Coka,Availability,Reduced sugar content,Caffeine,No,Yes,Print media,Compact and portable cans,Not Sure,50-99,Gyms and fitness centers,Studying/working late
109303,126333,Daily,Before exercise,To boost performance,Yes,Negative,Dangerous,Yes,4,Other,Cola-Coka,Taste/flavor preference,Other,Caffeine,Yes,No,Other,Compact and portable cans,Not Sure,50-99,Gyms and fitness centers,Sports/exercise
109304,126334,2-3 times a month,Before exercise,To boost performance,No,Positive,Effective,No,3,Other,CodeX,Availability,More natural ingredients,Guarana,Yes,Yes,TV commercials,Compact and portable cans,No,100-150,Online retailers,Sports/exercise
109305,126335,Rarely,To stay awake during work/study,Increased energy and focus,Yes,Positive,Effective,Yes,4,Not available locally,Gangster,Availability,More natural ingredients,Caffeine,Yes,Yes,Online ads,Collectible packaging,No,50-99,Online retailers,Sports/exercise
109306,126336,Rarely,For mental alertness,Increased energy and focus,Yes,Neutral,Dangerous,Yes,3,Unfamiliar with the brand,Cola-Coka,Other,Reduced sugar content,Vitamins,No,Yes,Print media,Compact and portable cans,Not Sure,50-99,Supermarkets,Sports/exercise
109307,126337,2-3 times a month,Throughout the day,To combat fatigue,Yes,Positive,Healthy,No,3,Not available locally,Sky 9,Brand reputation,Healthier alternatives,Guarana,No,No,TV commercials,Other,Yes,50-99,Supermarkets,Social outings/parties
109308,126338,Once a week,Before exercise,To combat fatigue,No,Neutral,Dangerous,No,4,Health concerns,Blue Bull,Other,Healthier alternatives,Caffeine,Yes,Yes,Other,Innovative bottle design,Yes,100-150,Online retailers,Social outings/parties
109311,126341,2-3 times a month,Before exercise,Increased energy and focus,No,Negative,Not sure,No,3,Not interested in energy drinks,Bepsi,Effectiveness,Wider range of flavors,Caffeine,Yes,Yes,Print media,Compact and portable cans,Not Sure,50-99,Gyms and fitness centers,Studying/working late
